team_name,season,games_played,wins,losses,win_pct
West,2015,1,1,0,1.0
West,2017,1,1,0,1.0
Wings,2016,34,11,23,0.3235294117647059
Wings,2017,35,16,19,0.45714285714285713
Wings,2018,35,15,20,0.42857142857142855
Wings,2019,34,10,24,0.29411764705882354
Wings,2020,22,8,14,0.36363636363636365
Wings,2021,33,14,19,0.42424242424242425
Wings,2022,39,19,20,0.48717948717948717
Wings,2023,45,24,21,0.5333333333333333
Wings,2024,40,9,31,0.225
