game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,offensive_rebounds,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name
300828006,2010,3,2010-08-28,2010-08-28T19:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,away,81,True,20,4,24,47.5,28,59,0,15,92.9,13,14,10,8,1,0,54.5,12,22,34,0,15,14,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks
300828006,2010,3,2010-08-28,2010-08-28T19:00:00Z,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,home,66,False,15,2,17,37.5,24,64,0,15,91.7,11,12,10,7,1,0,50.0,7,14,27,0,12,11,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300828017,2010,3,2010-08-28,2010-08-28T17:00:00Z,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,away,92,True,25,3,33,52.9,37,70,0,16,100.0,11,11,7,8,1,0,35.0,7,20,40,0,13,12,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars
300828017,2010,3,2010-08-28,2010-08-28T17:00:00Z,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,home,73,False,20,4,22,37.5,27,72,0,13,81.3,13,16,10,7,1,0,31.6,6,19,32,0,13,12,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury
300827020,2010,3,2010-08-27,2010-08-27T23:30:00Z,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics,away,77,False,9,1,17,34.7,25,72,0,30,71.9,23,32,10,10,1,0,23.5,4,17,27,0,10,9,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
300827020,2010,3,2010-08-27,2010-08-27T23:30:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,home,101,True,27,3,34,48.6,34,70,0,25,69.2,27,39,11,7,0,0,42.9,6,14,45,0,14,14,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics
300826011,2010,3,2010-08-26,2010-08-27T01:00:00Z,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,away,93,False,17,1,20,47.5,29,61,0,17,80.6,25,31,7,5,2,0,62.5,10,16,27,0,13,11,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury
300826011,2010,3,2010-08-26,2010-08-27T01:00:00Z,11,s:40~l:59~t:11,phoenix-mercury,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,home,106,True,33,7,25,57.1,44,77,0,23,86.7,13,15,11,8,1,0,45.5,5,11,36,0,11,10,17,s:40~l:59~t:17,san-antonio-silver-stars,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars
300826009,2010,3,2010-08-26,2010-08-26T23:00:00Z,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever,away,73,False,12,5,18,41.9,26,62,0,19,88.9,16,18,7,9,0,0,38.5,5,13,25,0,13,13,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty
300826009,2010,3,2010-08-26,2010-08-26T23:00:00Z,9,s:40~l:59~t:9,new-york-liberty,New York,Liberty,NYL,New York Liberty,Liberty,home,85,True,21,2,24,47.1,33,70,0,17,66.7,10,15,15,7,1,0,42.9,9,21,39,0,14,13,5,s:40~l:59~t:5,indiana-fever,Indiana,Fever,IND,Indiana Fever,Fever
300825014,2010,3,2010-08-25,2010-08-26T03:00:00Z,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,away,66,False,8,3,18,40.7,24,59,0,12,86.7,13,15,7,8,1,0,38.5,5,13,25,0,13,12,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm
300825014,2010,3,2010-08-25,2010-08-26T03:00:00Z,14,s:40~l:59~t:14,seattle-storm,Seattle,Storm,SEA,Seattle Storm,Storm,home,79,True,22,3,27,56.1,32,57,0,15,66.7,8,12,4,4,2,0,43.8,7,16,31,0,13,11,6,s:40~l:59~t:6,los-angeles-sparks,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks
300825016,2010,3,2010-08-25,2010-08-25T23:00:00Z,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream,away,95,True,14,10,28,53.5,38,71,0,30,55.6,15,27,13,4,0,0,50.0,4,8,41,0,15,15,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics
300825016,2010,3,2010-08-25,2010-08-25T23:00:00Z,16,s:40~l:59~t:16,washington-mystics,Washington,Mystics,WAS,Washington Mystics,Mystics,home,90,False,12,4,25,39.4,28,71,0,24,80.6,29,36,15,6,0,0,31.3,5,16,40,0,13,13,20,s:40~l:59~t:20,atlanta-dream,Atlanta,Dream,ATL,Atlanta Dream,Dream
